"","ticker","calendardate","revenue","cor","rnd","ebit","netinc","epsdil","ncfo","ncfi","capex","ncfdiv","intangibles","debt","de","pe","pb","fcfps","assets","netmargin","marketcap","dps","ln_returns"
"32561","PDEX",20130331,-0.225586673226027,-0.189708878728482,-0.132501085659145,-0.172724372329356,-0.136246272173165,-0.00724102485207482,-0.146053027142854,0.0270406989814053,0.165127166275682,0.184837962713686,-0.19093296937756,-0.0624344918884835,-0.000786160021243171,-0.0121843207512841,-0.00805065597317267,-0.0094292612709974,-0.113274396340034,0.00763821949622298,-0.243006379318682,-0.0406890432766202,-0.0451204352804697
"36272","PDEX",20130630,-0.225669192439346,-0.189715420595596,-0.132979158852081,-0.17265244599117,-0.136099520546542,-0.0072409474518924,-0.14551901631589,0.0269030635192713,0.165133186334016,0.184837962713686,-0.19093296937756,-0.0624345265122406,-0.000728740263561465,-0.0117258863774286,-0.00795321914661362,-0.00550197861467402,-0.113281115732567,0.00763764096134965,-0.243021848706265,-0.0406890432766202,0.102278849120418
"39960","PDEX",20130930,-0.225709600077727,-0.189894340661169,-0.133417392612271,-0.171210791995353,-0.134369808040738,-0.00724045725073711,-0.14607652361924,0.0272981982938044,0.165205427034023,0.184837962713686,-0.190930038735946,-0.0624345265122406,-0.000870081205547203,-0.0126578166240754,-0.00772586655130918,-0.00937724428217193,-0.113282570235219,0.00770127979741682,-0.242989423107127,-0.0406890432766202,0.311696948655655
"43663","PDEX",20131231,-0.22568890941952,-0.189737008757073,-0.133505039364309,-0.17212863461525,-0.135445986635978,-0.00724071525134516,-0.145672811434056,0.0269957027726307,0.165142216421517,0.184837962713686,-0.190926073750233,-0.0624345438241191,-0.00082591216117666,-0.014292930602283,-0.00631709243397632,-0.00662034387442174,-0.11328322578571,0.00766058951132538,-0.242867668292626,-0.0406890432766202,-0.248896047416625
"47343","PDEX",20140331,-0.225746356423482,-0.189811258948819,-0.133369585292978,-0.172230269658339,-0.135537950988662,-0.00724076685146677,-0.14520608597129,0.02707283913053,0.164991714963168,0.184837962713686,-0.190923832671352,-0.0624345957597548,-0.000744199429091155,-0.0159920559509674,-0.00616281745859117,-0.00360335852254417,-0.113285264138018,0.00765441847267645,-0.242875725908885,-0.0406890432766202,-0.0444517625708337
"51043","PDEX",20140630,-0.225549430041255,-0.189674533926133,-0.133528943023956,-0.171532896901143,-0.134737665451475,-0.00724043145067631,-0.145514744229275,0.0269484378474474,0.165271647675696,0.184837962713686,-0.190914868355827,-0.0624346130716334,-0.00087228965776573,-0.0261557437015189,-0.0072102633441009,-0.00516386818730843,-0.113269715299809,0.00768662358062559,-0.24289517014951,-0.0406890432766202,0.135801541159062
"54777","PDEX",20140930,-0.225699863297394,-0.189842987004323,-0.133345681633331,-0.171823729485983,-0.135117262992341,-0.00724056045098033,-0.144971121207425,0.0270115837874924,0.165112116129847,0.184837962713686,-0.190904524914837,-0.0624346476953905,-0.000863455848891621,-0.0196680030349633,-0.0065809838392404,-0.0023809592851455,-0.113271384904966,0.0076725458987077,-0.242837760412863,-0.0406890432766202,-0.0220670940286785
"58548","PDEX",20141231,-0.225651909654256,-0.189735373290295,-0.132867608440396,-0.172045762964731,-0.135160310136151,-0.00724058625104114,-0.145807382162451,0.0265642685355568,0.164636531521467,0.184837962713686,-0.190875390889382,-0.062434665007269,-0.000706655741376193,-0.0216655343313114,-0.00659316344256028,-0.00820686203359874,-0.113267287714397,0.00767196736383436,-0.242848409304727,-0.0406890432766202,-0.189241999638528
"62307","PDEX",20150331,-0.225376845609859,-0.189479913379486,-0.132580764524634,-0.171511006276478,-0.134933334286973,-0.00724050885085872,-0.146278379711833,0.0271605628316704,0.165088035896511,0.184837962713686,-0.190772646042213,-0.0624329857550489,-0.000362137195285956,-0.0274868036699619,-0.0072102633441009,-0.0100534651369031,-0.113260424920194,0.00768160961172333,-0.242933010281336,-0.0406890432766202,0.148673522675722
"66066","PDEX",20150630,-0.225340089264103,-0.189459960684787,-0.133544878797054,-0.171435952706197,-0.134641787722081,-0.00724043145067631,-0.145889619829803,0.0268845356685994,0.165181346800687,0.184837962713686,-0.190777817762708,-0.0624331242500774,-0.000417348500749135,-0.0335537637100012,-0.00659722331033358,-0.00758265816769303,-0.11326143897486,0.00768874487516116,-0.242870544558217,-0.0406890432766202,0.146334589868132
"69837","PDEX",20150930,-0.225334247195904,-0.189426924255861,-0.132995094625178,-0.171733039755226,-0.135029212016367,-0.00724053465091953,-0.146210026325981,0.0270263304441496,0.165187366859021,0.184837962713686,-0.190783851436619,-0.0624246068058267,-0.000435016118497352,-0.0416672049179296,-0.00578118988790157,-0.00945526976541014,-0.11326395874706,0.00767929547222998,-0.242798966220264,-0.0406890432766202,-0.145067965252939
"73661","PDEX",20151231,-0.225007578215744,-0.189145296876595,-0.132939319419336,-0.170904323250039,-0.134019560825197,-0.00724022505018987,-0.145199677841366,0.0271393881451882,0.165166296654852,0.184837962713686,-0.19078936793848,-0.0624248145483694,-0.000611692295979525,0.026909682423709,-0.00673525881462556,-0.0035513415337187,-0.113265013773631,0.00769915850288124,-0.242868901479204,-0.0406890432766202,-999
"2637","PGNX",20110331,-0.225750251135615,-0.190420960963862,0.0193110567574599,-0.207395994567141,-0.179645619886642,-0.00724223745493265,-0.103350317353875,0.0270372959067921,0.165100076013179,0.184837962713686,-0.19093296937756,-0.0624348727498117,0.00347173585607719,-0.0117465959384652,0.0242090533534179,0.0253961127476583,-0.112356891970006,0.00583376922628205,-0.230746635860116,-0.0406890432766202,-0.338197862588683
"6364","PGNX",20110630,-0.208219421566228,-0.190420960963862,-0.0297153491780553,-0.0847881694326863,-0.0262158159075241,-0.00723622604076512,-0.153361499320679,0.027062251787289,0.164997735021502,0.184837962713686,-0.19093296937756,-0.0624348727498117,-0.00126760260488209,-0.0632588049859483,-0.00243585884270769,-0.0111978388910636,-0.112389577307769,0.00782913600442449,-0.234311026164338,-0.0406890432766202,0.129421056929512
"10087","PGNX",20110930,-0.224918730095209,-0.190420960963862,-0.0366474104756172,-0.189422228100859,-0.157153487246136,-0.00724133445280448,-0.151267108857328,0.027067167339508,0.165036865400673,0.184837962713686,-0.19093296937756,-0.0624348727498117,-0.00122122510829302,0.0817213010817953,-5.27164597843794e-05,-0.00963732922629931,-0.112474040891345,0.00730536909909591,-0.233049264815097,-0.0406890432766202,0.354091944705756
